split,label,label_raw,file_name,relative_path,size_bytes,width,height
train,Glioma,glioma_tumor,gg (1).jpg,data/raw/Training/glioma_tumor/gg (1).jpg,21150,512,512
train,Glioma,glioma_tumor,gg (10).jpg,data/raw/Training/glioma_tumor/gg (10).jpg,21922,512,512
train,Glioma,glioma_tumor,gg (100).jpg,data/raw/Training/glioma_tumor/gg (100).jpg,27678,512,512
train,Glioma,glioma_tumor,gg (101).jpg,data/raw/Training/glioma_tumor/gg (101).jpg,29283,512,512
train,Glioma,glioma_tumor,gg (102).jpg,data/raw/Training/glioma_tumor/gg (102).jpg,28661,512,512
train,Glioma,glioma_tumor,gg (103).jpg,data/raw/Training/glioma_tumor/gg (103).jpg,23759,512,512
train,Glioma,glioma_tumor,gg (104).jpg,data/raw/Training/glioma_tumor/gg (104).jpg,26727,512,512
train,Glioma,glioma_tumor,gg (105).jpg,data/raw/Training/glioma_tumor/gg (105).jpg,28618,512,512
train,Glioma,glioma_tumor,gg (106).jpg,data/raw/Training/glioma_tumor/gg (106).jpg,28825,512,512
train,Glioma,glioma_tumor,gg (107).jpg,data/raw/Training/glioma_tumor/gg (107).jpg,26810,512,512
train,Glioma,glioma_tumor,gg (108).jpg,data/raw/Training/glioma_tumor/gg (108).jpg,29954,512,512
train,Glioma,glioma_tumor,gg (109).jpg,data/raw/Training/glioma_tumor/gg (109).jpg,28909,512,512
train,Glioma,glioma_tumor,gg (11).jpg,data/raw/Training/glioma_tumor/gg (11).jpg,24438,512,512
train,Glioma,glioma_tumor,gg (110).jpg,data/raw/Training/glioma_tumor/gg (110).jpg,32219,512,512
train,Glioma,glioma_tumor,gg (111).jpg,data/raw/Training/glioma_tumor/gg (111).jpg,33025,512,512
train,Glioma,glioma_tumor,gg (112).jpg,data/raw/Training/glioma_tumor/gg (112).jpg,33449,512,512
train,Glioma,glioma_tumor,gg (113).jpg,data/raw/Training/glioma_tumor/gg (113).jpg,36656,512,512
train,Glioma,glioma_tumor,gg (114).jpg,data/raw/Training/glioma_tumor/gg (114).jpg,28926,512,512
train,Glioma,glioma_tumor,gg (115).jpg,data/raw/Training/glioma_tumor/gg (115).jpg,32192,512,512
train,Glioma,glioma_tumor,gg (116).jpg,data/raw/Training/glioma_tumor/gg (116).jpg,25677,512,512
train,Glioma,glioma_tumor,gg (117).jpg,data/raw/Training/glioma_tumor/gg (117).jpg,24502,512,512
train,Glioma,glioma_tumor,gg (118).jpg,data/raw/Training/glioma_tumor/gg (118).jpg,25841,512,512
train,Glioma,glioma_tumor,gg (119).jpg,data/raw/Training/glioma_tumor/gg (119).jpg,25519,512,512
train,Glioma,glioma_tumor,gg (12).jpg,data/raw/Training/glioma_tumor/gg (12).jpg,23917,512,512
train,Glioma,glioma_tumor,gg (120).jpg,data/raw/Training/glioma_tumor/gg (120).jpg,25785,512,512
train,Glioma,glioma_tumor,gg (121).jpg,data/raw/Training/glioma_tumor/gg (121).jpg,26921,512,512
train,Glioma,glioma_tumor,gg (122).jpg,data/raw/Training/glioma_tumor/gg (122).jpg,25150,512,512
train,Glioma,glioma_tumor,gg (123).jpg,data/raw/Training/glioma_tumor/gg (123).jpg,27992,512,512
train,Glioma,glioma_tumor,gg (124).jpg,data/raw/Training/glioma_tumor/gg (124).jpg,28964,512,512
train,Glioma,glioma_tumor,gg (125).jpg,data/raw/Training/glioma_tumor/gg (125).jpg,29495,512,512
train,Glioma,glioma_tumor,gg (126).jpg,data/raw/Training/glioma_tumor/gg (126).jpg,29807,512,512
train,Glioma,glioma_tumor,gg (127).jpg,data/raw/Training/glioma_tumor/gg (127).jpg,28087,512,512
train,Glioma,glioma_tumor,gg (128).jpg,data/raw/Training/glioma_tumor/gg (128).jpg,27557,512,512
train,Glioma,glioma_tumor,gg (129).jpg,data/raw/Training/glioma_tumor/gg (129).jpg,27253,512,512
train,Glioma,glioma_tumor,gg (13).jpg,data/raw/Training/glioma_tumor/gg (13).jpg,21914,512,512
train,Glioma,glioma_tumor,gg (130).jpg,data/raw/Training/glioma_tumor/gg (130).jpg,26823,512,512
train,Glioma,glioma_tumor,gg (131).jpg,data/raw/Training/glioma_tumor/gg (131).jpg,25440,512,512
train,Glioma,glioma_tumor,gg (132).jpg,data/raw/Training/glioma_tumor/gg (132).jpg,29651,512,512
train,Glioma,glioma_tumor,gg (133).jpg,data/raw/Training/glioma_tumor/gg (133).jpg,29890,512,512
